iter	Passed	Remaining
0	1	158
1	2	138
2	4	130
3	5	120
4	6	118
5	7	116
6	8	116
7	10	118
8	11	119
9	13	117
10	14	115
11	15	113
12	16	111
13	17	109
14	18	107
15	20	106
16	21	105
17	22	103
18	24	103
19	25	102
20	26	100
21	28	99
22	29	97
23	30	96
24	31	94
25	32	93
26	34	92
27	35	90
28	36	89
29	37	87
30	39	87
31	40	86
32	42	85
33	43	83
34	44	82
35	45	81
36	46	79
37	48	78
38	49	77
39	50	76
40	51	74
41	52	72
42	54	71
43	55	70
44	57	69
45	58	68
46	59	67
47	61	66
48	62	65
49	63	63
50	64	62
51	66	60
52	67	59
53	68	58
54	69	57
55	70	55
56	72	54
57	73	53
58	74	51
59	75	50
60	77	49
61	78	48
62	79	46
63	80	45
64	82	44
65	83	43
66	84	41
67	86	40
68	87	39
69	88	38
70	90	36
71	91	35
72	92	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	28
78	100	26
79	101	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	19
85	109	17
86	110	16
87	111	15
88	113	14
89	114	12
90	115	11
91	117	10
92	118	8
93	119	7
94	121	6
95	122	5
96	123	3
97	124	2
98	126	1
99	127	0
